rewards_rank,rank,index,adjusted_balance,block_proposals,beta_epochs_missed,balance,start_balance,eth1_addr,pub
680,1430,123324,-210302281,0,0,31783271910,31993574191,0x57760655c2fef419da61806d303a713326a6e278,0xa867a7d116478cb8a6634b171cb3c5718abd99332d83127a484e625f2ef875029b8d7a237289cbab6d83cba8574a6350
681,1433,123388,-210302281,0,0,31783735045,31994037326,0xfbf3bc2d8647c9c23608e4d0f8886d528008a6d3,0x8f02041c780ff657cf2e91e5f1f0aa1e08fe4c893bac8c3547402d2fcb447062a405a048f399a123f855fcfb2077e2f7
682,1435,107180,-210302281,0,0,63727006281,63937308562,0x53561e4062d25d0caf8100783e9da3fbd79bebe1,0xb091fe9cac13febd49552f571a97f5d6314f976727ee7895e8ddddfd959215646e57f04f02c7095fbbc4ae0bdde5e0fd
683,1436,123531,-210302281,0,0,31784631277,31994933558,0x1660fc620d296b704614b82d074bdd22ff90ec2e,0xad91cbec102b9565d93ac9d9f1f1045966c7fce5c0e1758de1fb37cdd5d520c5828ae483a5dc50eb1db559698f08df69
684,1437,123654,-210302281,0,0,31785394372,31995696653,0x9713bf2a5395543009d41417f9a12b4f43bcec68,0xa3e42af1d8bb8b120a7e86f4fa49e204112a38222fc029ba3944ab15822b68e4404922a128230b3eefd4c413e00ae1e3
685,1439,123723,-210302281,0,0,31785812680,31996114961,0x15f8aa1cb7487c8af1c9eb075bc62e49e2f4c0e4,0xb533d828a73e75a5438df39e1b7f6fe0b7a7d5c5640e5491dbd912c6930b7a0010dc2b27748c470df99cb7519c90d9f0
686,1440,123724,-210302281,0,0,31785837283,31996139564,0x66593a4202ab4ec67a9b9d23f8839a058ecf894b,0xa5996a52b73e16e11cfa26019f38eee05c8607d2113e485972cf446ceaf5690adc9b4d852d3194a8c0fb025767ced7b7
687,1441,123736,-210302281,0,0,31785911089,31996213370,0xa16460fab0e8b66c6fb2ac0a3eeaff2f35c2ddb6,0x8f34a5b04419cbc90606a4b738837aa86c6dd41c3c52cb1e925ac140d130b13dda6dc706c8adabafae0a112fe6272611
688,1443,123872,-210302281,0,0,31787903359,31998205640,0x30f5fdf8a34b31e51a259f66e34be61911fe791f,0x99b9bca1144b0e6c8dc2cb2ba3189cec2c7e8d411bd05d0bb7c3d7feb0a7aefced89a29b2bd497698973134bddaf9e8d
689,1444,123939,-210302281,0,0,31788296710,31998598991,0xa1efc89bc7d5521793f2574c96bee2f1444241b2,0xa87a3525b2b4f0d206f8a75c038e90677faae06a9ed16b784e8b798870753144f6edb4f4d74f4cdb3ac9b2fc76d2af61
690,1445,123947,-210302281,0,0,31788345874,31998648155,0x22ec616840d8a4c9f937918b6c6990e004da6166,0x980297c0eba1c1dda02255bbbf2a0ee0b6b67b9685f3081ca04c9401a48ca6fe6ae19f9d325a946914eed542f9d28635
691,1447,123952,-210302281,0,0,31788395032,31998697313,0xc7b80146fbd8cff55554da77cbfc32958fbc2c23,0x9963eae22010834c7bbce8bf83093ed94a146ff88a2691397def9b799a2fd269cd97d2d84d127148778460ab1b9ac0d6
692,1448,124733,-280466588,1,2285,31719533412,32000000000,0x1457fc37d2d32d5f9a9bfb9984a80c5b9e654114,0xb034c76da3cb658f7285e3d7ca06d1c7488e6c20de8b8fd9ccee04d84fa72edab80d1a0d60ae54078eb0ab9c2ee65e70
693,1449,125096,-338465786,0,4393,31661534214,32000000000,0x4905f32d6a0f68d25d0cbf337b59611c9b8c80dd,0x866c988bbd6aa05b51340da58ef2774dcf81e3ae5bbd5d5585ba34a24d2960ed3afc23800576063785afb1dbbb372df7
694,1452,124760,-376351741,0,2353,31623648259,32000000000,0x91e53ee0c579fa0b6652f5eaaddf1bb23ea6b1ac,0xa86d63acce2b66c6ec4cfe90cb91147aada488b168e5c7e886d57915acd39c67013dc5b7fe5615a63056e8dcc55094af
695,1454,124729,-387238279,0,2284,31612761721,32000000000,0x9b902ba750afa562891ee66f343138591f1a7494,0xa92a0f5a3976fa222874c08bd280e14f5a25d724d84e81cd9240e5b2cb8377603871d6b9c0d800935e9a41a18a16a4cc
696,1456,124658,-390984163,0,1961,31609015837,32000000000,0x70ccf7ed22a22d975380772107bb36ad6e437967,0x991c8bc010f72c99723ac621ec4adfae9369414021b5b2285e602913bad6d2dc5a6dadac9867af1847ab5582ca468504
697,1457,124656,-393284680,0,1961,31606715320,32000000000,0x783b800161287823a1c964a2cd49356b83085822,0x8e5fb52341b8bdad89c47b4b8da3c102a06d5b2019909facb9b34eba318d07fecd3a5f81ee7096309f1f7084a1d54c6d
698,1460,124631,-394835186,0,1833,31605164814,32000000000,0xb667dd386c39cb2d866dc18f5a7c78cbdcd30a1b,0xb8fc77b2fd4fc8108094b78c8f19a5a4a1098d9a1e4fe8eaf640c9e484987186a56ddf2fd9340b205bdc2eee5e1fbf37
699,1461,124639,-395428539,0,1897,31604571461,32000000000,0x1a9a6837f13136b78e3d15ff65fd30359eb4cf14,0xb415b89057401aebe66dfac9eaec269ee102e615f1be2d84ef384406bf4aa1d92535e45b96442393bc950e64186fc460
700,1463,124641,-398016229,1,1897,31601983771,32000000000,0x233854c965ae697cf0b1ae2946268d150d4102d9,0x86e10783106fcdcedd773c79d492d3d2ff472cc41e3ef917a5a1216ebe61934c606775b02cacca4d034deb150db6dcef
701,1465,124621,-404155261,0,1709,31595844739,32000000000,0x8e218bd65947130ceb9514a38420941561a22c37,0x865821121fd82df7fda1f95ab09422f123bd9208da313630c85c15f23b737dc3ac1b4f950b947ab6fe6b61e57419e4a4
702,1466,124616,-404194743,0,1708,31595805257,32000000000,0x07d3e91fc7e167d7f6fdbb3fc67d124132e622a8,0xa9dbdbbf440febac195421428271939767060aded053adf81131813e9a6058b11474b8b884ace2f3e0b93faabb157917
703,1467,124628,-404273626,0,1832,31595726374,32000000000,0x1d1dd51a67bde412846952bce6a23470cee0c3d3,0x85ce75d972368ece3d156beaf8f43647220b178b0c31131aa1bcf9c5fff94952d23f79eef550771498faf6118abc019f
